Date,Year,Production,Consumption (domestic),Exportable Production,Gross Opening Stocks,Exports,Imports,Re-exports,Inventories,Disappearance
12/31/90,1990,,,,,80674.6726006999,74131,8769,18052,59322.2353124
12/31/91,1991,93102.4466,19509.211,73593.3116,55792.194,75943.1783932,71282,9770,15957,63930.3499513
12/31/92,1992,101104.1534,20362.097,80742.0564,53104.639,78299.2372063,79216,10691,19328,64881.529663
12/31/93,1993,98770.6522,20950.952,77819.7002,54234.646,75168.1503218001,77120,11041,16137,68703.6708421
12/31/94,1994,90646.3016,21165.406,69480.8956,52158.541,70716.4975964,75024,12833,14789,63742.2206007
12/31/95,1995,93217.497,21363.999,71853.498,47489.667,67871.9052,72371,11539,9287,65593.1097207
12/31/96,1996,87056.4742,22749.405,64307.0692,53473.738,77685.1458899,77854,12485,7716,66780.1734966
12/31/97,1997,103251.642,23773.423,79478.219,44238.443,80413.6379427,81063,14136,8447,66524.9007255
12/31/98,1998,99666.991,24549.873,75211.443,42215.018,80265.1589727,82767,15135,8204,67927.3572755
12/31/99,1999,109015.3451,25349.593,83799.0231,40026.953,86144.5981702,85432,15331,10527,68100.715327
12/31/00,2000,131576.3217,25862.205,105954.3533,40968.273,89558.6330712,87642,16796,16104,67260.9523242
12/31/01,2001,113672.5077,27236.162,86915.7239,55054.455,90859.0450087,88950,18588,18646,69870.1829165
12/31/02,2002,108134.6844,28465.49,80227.9124,53983.5979,88831.953172,91266,19602,20093,70236.3444521
12/31/03,2003,122661.5249,28922.271,94313.0439,48311.897,86371.4203704,93394,21284,20123,72508.8396883
12/31/04,2004,105505.8427,30017.178,76113.4667,52605.728,91100.920152,95847,21693,20250,74603.3438784
12/31/05,2005,116225.413,31653.179,85352.5234,41372.006,87561.6933732001,96376,24028,20058,73219.3164418
12/31/06,2006,111802.5703,33451.98,79150.6209,37215.662,91745.2899193,101567,26123,18850,74596.1288204
12/31/07,2007,129857.9939,35133.239,95462.796,28633.849,96302.1524772,104655,28747,20784,75447.8890542
12/31/08,2008,121919.5688,37077.638,85632.3423,25909.623,97598.5869991,106798,32106,21003,75230.9196876
12/31/09,2009,134119.5433,38715.912,97340.1834,18198.3506,96241.8690018,104513,31873,21914,73690.4619555
12/31/10,2010,128006.3279,40184.808,89533.1782,22371.059,97067.1656476,109145,34048,17939,75930.6942636
12/31/11,2011,139485.8752,42342.474,99638.7171,20532.698,102209.6082787,111812,35461,18649,75804
12/31/12,2012,144447.7189,43947.126,103633.9616,19558.57,108507.3285474,113171,36221,18654,76229.0370527
12/31/13,2013,151258.4287,45314.98,109442.5464,18489.409,108647.2659727,115931,36282,19126,78400
12/31/14,2014,154065.5456,45980.827,111977.8971,24486.954,114547.0909105,120028,39242,22139,79938
12/31/15,2015,148559.2916,47197.488,105492.1996,27132.456,114540.7193672,121384,40492,23104,79891
12/31/16,2016,153561.4452,48259.618,109901.8298,23812.502,119320.0456872,127178,42582,23701,83489
12/31/17,2017,159047.091,49241.1704,114596.1354,18582.567,117499.056552,126110,43567,23576,82749
12/31/18,2018,158560.3607,50431.045,112949.3157,19356.837,,,,,
12/31/19,2019,,,,,,,,,
