Date,Brazil harvested area (ha)
2015-12-31,1979714
2014-12-31,1997827
2013-12-31,2085522
2012-12-31,2120080
2011-12-31,2148775
2010-12-31,2159785
2009-12-31,2135508
2008-12-31,2222224
2007-12-31,2264129
2006-12-31,2312154
2005-12-31,2325920
2004-12-31,2368040
2003-12-31,2395501
2002-12-31,2370891
2001-12-31,2336031
2000-12-31,2267968
1999-12-31,2222925
1998-12-31,2070409
1997-12-31,1988186
1996-12-31,1920253
1995-12-31,1869984
1994-12-31,2097650
1993-12-31,2259332
1992-12-31,2500324
1991-12-31,2763439
1990-12-31,2908961
1989-12-31,3026535
1988-12-31,2975245
1987-12-31,2875641
1986-12-31,2591461
1985-12-31,2533762
1984-12-31,2505435
1983-12-31,2346007
1982-12-31,1895486
1981-12-31,2617836
